state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,participating_in_cep,claiming_isp,total_enrolled,total_eligible
oh,222,Wildwood Environmental Academy,20000222,Wildwood Environmental High School,31.22%,,,N,221,69
oh,316,Constellation Schools: Westpark Community Middle,316,Westpark Community Middle School,33.84%,,,N,198,67
oh,321,Constellation Schools: Old Brooklyn Community Midd,321,Old Brooklyn Community Middle,35.34%,,,N,266,94
oh,558,Columbus Preparatory Academy,558,Columbus Preparatory Academy,33.82%,,,N,819,277
oh,608,Summit Academy Transition High School-Cincinnati,608,Summit Acad Transition High Sch-Cincinnati,34.78%,,,N,69,24
oh,8278,Noble Academy-Cleveland,8278,Noble Academy-Cleveland,38.80%,,,N,396,154
oh,8280,Noble Academy-Columbus,8280,Noble Academy-Columbus,37.86%,,,N,346,131
oh,12508,DePaul Cristo Rey High School,12508,DePaul Cristo Rey High School,33.79%,,,N,293,99
oh,12924,"DECA Prep, Inc.",12924,"DECA Prep, Inc.",37.82%,,,N,1388,525
oh,43505,Ashland City SD,10025,Edison Elementary School,32.44%,,,N,447,145
oh,43539,Barberton City Schools,1545,Barberton High School,39.61%,,,N,1295,513
